676,EHMN,C00440,417,0
677,CHEBI,15641,417,0
678,PubChem,439234,417,0
679,HepatoNet,HC00358,417,0
680,CHEBI,37634,3971,0
681,HMDB,HMDB02166,162,0
682,KEGG,C03284,162,0
683,EHMN,C03284,162,0
684,CHEBI,33094,162,0
685,CHEBI,17002,5029,0
686,CHEBI,28067,3951,0
687,HMDB,HMDB13024,1390,0
688,EHMN,CE2863,1390,0
689,PubChem,53481585,1390,0
690,HMDB,HMDB00271,4614,0
691,KEGG,C00213,4614,0
692,EHMN,C00213,4614,0
693,CHEBI,15611,4614,0
694,PubChem,1088,4614,0
695,HepatoNet,HC00197,4614,0
696,HMDB,HMDB06516,4799,0
697,KEGG,C16171,4799,0
698,PubChem,53477846,4799,0
699,HMDB,HMDB01014,338,0
700,KEGG,C03680,338,0
701,EHMN,C03680,338,0
702,CHEBI,27384,338,0
703,PubChem,128,338,0
704,HepatoNet,HC01157,338,0
705,HMDB,HMDB01438,89,0
706,HMDB,HMDB06404,2490,0
707,KEGG,C05274,2490,0
708,EHMN,C05274,2490,0
709,CHEBI,61430,2490,0
710,PubChem,440615,2490,0
711,HepatoNet,HC01413,2490,0
712,HMDB,HMDB06521,4978,0
713,PubChem,53477847,4978,0
714,HMDB,HMDB00019,238,0
715,KEGG,C00141,238,0
716,EHMN,C00141,238,0
717,CHEBI,16530,238,0
718,PubChem,49,238,0
719,HepatoNet,HC00139,238,0
720,EHMN,CE5752,1920,0
721,EHMN,CE5346,1845,0
722,HMDB,HMDB01866,145,0
723,KEGG,C05580,145,0
724,EHMN,C05580,145,0
725,CHEBI,27637,145,0
726,PubChem,85782,145,0
727,HepatoNet,HC01517,145,0
728,HMDB,HMDB00030,797,0
729,KEGG,C00120,797,0
730,CHEBI,15956,797,0
731,PubChem,171548,797,0
732,HMDB,HMDB06528,2266,0
733,KEGG,C16513,2266,0
734,CHEBI,53488,2266,0
735,HMDB,HMDB01440,2577,0
736,KEGG,C00286,2577,0
737,EHMN,C00286,2577,0
738,CHEBI,16497,2577,0
739,PubChem,65103,2577,0
740,HepatoNet,HC00252,2577,0
741,HMDB,HMDB03905,3654,0
742,KEGG,C05130,3654,0
743,EHMN,C05130,3654,0
744,CHEBI,27398,3654,0
745,PubChem,150841,3654,0
746,EHMN,CE5932,1993,0
747,EHMN,CE5162,1722,0
748,HMDB,HMDB06523,725,0
749,KEGG,C02249,725,0
750,EHMN,C02249,725,0
751,CHEBI,57368,725,0
752,PubChem,16061152,725,0
753,HepatoNet,HC01986,725,0
754,HMDB,HMDB02200,3868,0
755,KEGG,C05952,3868,0
756,EHMN,C05952,3868,0
757,CHEBI,15650,3868,0
758,PubChem,440857,3868,0
759,KEGG,C19625,2675,0
760,PubChem,244872,2675,0
761,EHMN,CE4853,1602,0
762,HMDB,HMDB00570,905,0
763,KEGG,C05770,905,0
764,EHMN,C05770,905,0
765,CHEBI,27609,905,0
766,HMDB,HMDB01893,760,0
767,KEGG,C02477,760,0
768,CHEBI,18145,760,0
769,PubChem,14985,760,0
770,EHMN,CE2875,1409,0
771,HMDB,HMDB03335,3646,0
772,KEGG,C00104,3646,0
773,EHMN,C00104,3646,0
774,CHEBI,17808,3646,0
775,PubChem,6831,3646,0
776,HepatoNet,HC00104,3646,0
777,KEGG,C05749,3310,0
778,EHMN,C05749,3310,0
779,EHMN,CE4723,1482,0
780,HMDB,HMDB00058,1025,0
781,KEGG,C00575,1025,0
782,EHMN,C00575,1025,0
783,CHEBI,17489,1025,0
784,PubChem,6076,1025,0
785,HepatoNet,HC00434,1025,0
786,HMDB,HMDB00643,904,0
787,KEGG,C05769,904,0
788,EHMN,C05769,904,0
789,CHEBI,28421,904,0
