Metabolite abbreviation,Kegg ID,Kegg ID_1,EHMN ID
alpa_hs[c],C05453,[],[]
alpa_hs[m],C05453,[],[]
alpam[m],[],[],[]
alpro[m],C01242,[],C01242
am6sa[c],C03824,[],C03824
amet[c],C00019,[],C00019
amet[m],C00019,[],C00019
amet[n],C00019,[],C00019
amet[r],C00019,[],C00019
ametam[c],C01137,[],C01137
amp[c],C00020,D02769,[]
amp[e],C00020,D02769,C00020
amp[g],C00020,D02769,C00020
amp[l],C00020,D02769,C00020
amp[m],C00020,D02769,C00020
amp[r],C00020,D02769,C00020
amp[x],C00020,D02769,C00020
amuco[c],C02220,[],[]
andrstandn[r],C00674,[],C00674
andrstndn[c],C00280,C00186;D00051,C00280
andrstndn[m],C00280,C00186;D00051,C00280
andrstndn[r],C00280,C00186;D00051,C00280
andrstrn[c],C00523,[],C00523
andrstrn[e],C00523,[],C00523
andrstrn[l],C00523,[],C00523
andrstrn[r],C00523,[],C00523
andrstrnglc[c],C11135,[],[]
andrstrnglc[e],C11135,[],[]
andrstrnglc[r],C11135,[],[]
anth[c],C00108,[],C00108
anth[e],C00108,[],[]
antipyrene[c],C13244,[],[]
antipyrene[e],C13244,[],[]
ap4a[c],C01260,[],C01260
apnnox[c],C02759,[],[]
apnnox[e],C02759,[],[]
apoC[c],[],[],[]
apoC[m],[],[],[]
apoC_Lys[c],[],[],[]
apoC_Lys[m],[],[],[]
apoC_Lys_btn[c],[],[],[]
apoC_Lys_btn[m],[],[],[]
appnn[c],C09880,C06306,[]
appnn[e],C09880,C06306,[]
aprgstrn[c],C04042,C03965,C04042
aprgstrn[e],C04042,C03965,C04042
aprut[c],C02714,C05300,C02714
aps[c],C00224,[],C00224
aqcobal[c],C00992,[],C00992
aqcobal[e],C00992,[],C00992
arab_L[c],C00259,[],[]
arab_L[e],C00259,[],[]
arach[c],C06425,[],CE0102
arach[e],C06425,[],CE0102
arach[m],C06425,[],CE0102
arach[x],C06425,[],CE0102
arachcoa[c],C02041,[],C02041
arachcoa[e],C02041,[],C02041
arachcoa[m],C02041,[],C02041
arachcoa[x],C02041,[],C02041
arachcrn[c],[],[],[]
arachcrn[m],[],[],[]
arachd[c],C00219,[],[]
arachd[e],C00219,[],[]
arachd[l],C00219,[],C00219
arachd[r],C00219,[],C00219
arachd[x],C00219,[],C00219
arachdcoa[c],C02249,[],C02249
arachdcoa[m],C02249,[],C02249
arachdcoa[r],C02249,[],C02249
arachdcoa[x],C02249,[],C02249
arachdcrn[c],[],[],[]
arachdcrn[m],[],[],[]
arachdcrn[r],[],[],[]
arachdcrn[x],[],[],[]
arg_D[x],C00792,[],[]
arg_L[c],C00062,C02385;D02982,[]
arg_L[e],C00062,C02385;D02982,[]
arg_L[l],C00062,C02385;D02982,[]
arg_L[m],C00062,C02385;D02982,[]
argsuc[c],C03406,[],C03406
ascb_L[c],C00072,[],[]
ascb_L[e],C00072,[],[]
asn_L[c],C00152,[],[]
asn_L[e],C00152,[],[]
