compoundExRef_id,compoundExRef_idtype,compoundExRef_idvalue,compound_id,compoundExRef_primary
10967,CheBI,16526,2326,1
10968,KEGG,C00011,2326,1
10969,KEGG,D00004,2326,0
10970,PubChem,280,2326,1
10971,PubChem,3871136,2326,0
10972,HepatoNet,HC00021,2326,1
10973,EHMN,C00011,2326,1
10974,HMDB,HMDB01967,2326,1
10975,InChi Key,CURLTUGMZLYLDI-UHFFFAOYSA-N,2326,1
10976,CheBI,15346,2327,1
10977,KEGG,C00010,2327,1
10978,PubChem,6816,2327,1
10979,PubChem,87642,2327,0
10980,PubChem,3728583,2327,0
10981,HMDB,HMDB01423,2327,1
10982,InChi Key,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,2327,1
10983,CheBI,15346,2328,1
10984,KEGG,C00010,2328,1
10985,PubChem,6816,2328,1
10986,PubChem,87642,2328,0
10987,PubChem,3728583,2328,0
10988,PubChem,25113190,2328,0
10989,HepatoNet,HC00020,2328,1
10990,EHMN,C00010,2328,1
10991,HMDB,HMDB01423,2328,1
10992,InChi Key,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,2328,1
10993,CheBI,15346,2329,1
10994,KEGG,C00010,2329,1
10995,PubChem,6816,2329,1
10996,PubChem,87642,2329,0
10997,PubChem,3728583,2329,0
10998,PubChem,25113190,2329,0
10999,HepatoNet,HC00020,2329,1
11000,EHMN,C00010,2329,1
11001,HMDB,HMDB01423,2329,1
11002,InChi Key,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,2329,1
11003,CheBI,15346,2330,1
11004,KEGG,C00010,2330,1
11005,PubChem,6816,2330,1
11006,PubChem,87642,2330,0
11007,PubChem,3728583,2330,0
11008,PubChem,25113190,2330,0
11009,HepatoNet,HC00020,2330,1
11010,EHMN,C00010,2330,1
11011,HMDB,HMDB01423,2330,1
11012,InChi Key,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,2330,1
11013,CheBI,15346,2331,1
11014,KEGG,C00010,2331,1
11015,PubChem,6816,2331,1
11016,PubChem,87642,2331,0
11017,PubChem,3728583,2331,0
11018,PubChem,25113190,2331,0
11019,HepatoNet,HC00020,2331,1
11020,EHMN,C00010,2331,1
11021,HMDB,HMDB01423,2331,1
11022,InChi Key,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,2331,1
11023,CheBI,15346,2332,1
11024,KEGG,C00010,2332,1
11025,PubChem,6816,2332,1
11026,PubChem,87642,2332,0
11027,PubChem,3728583,2332,0
11028,PubChem,25113190,2332,0
11029,HepatoNet,HC00020,2332,1
11030,EHMN,C00010,2332,1
11031,HMDB,HMDB01423,2332,1
11032,InChi Key,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,2332,1
11033,CheBI,15346,2333,1
11034,KEGG,C00010,2333,1
11035,PubChem,6816,2333,1
11036,PubChem,87642,2333,0
11037,PubChem,3728583,2333,0
11038,PubChem,25113190,2333,0
11039,HepatoNet,HC00020,2333,1
11040,EHMN,C00010,2333,1
11041,HMDB,HMDB01423,2333,1
11042,InChi Key,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,2333,1
11043,CheBI,15346,2334,1
11044,KEGG,C00010,2334,1
11045,PubChem,6816,2334,1
11046,PubChem,87642,2334,0
11047,PubChem,3728583,2334,0
11048,PubChem,25113190,2334,0
11049,HepatoNet,HC00020,2334,1
11050,EHMN,C00010,2334,1
11051,HMDB,HMDB01423,2334,1
11052,InChi Key,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,2334,1
11053,CheBI,27958,2335,1
11054,KEGG,C01416,2335,1
11055,PubChem,446220,2335,1
11056,PubChem,5760,2335,0
11057,PubChem,21635054,2335,0
11058,EHMN,C01416,2335,1
11059,InChi Key,ZPUCINDJVBIVPJ-LJISPDSOSA-N,2335,1
11060,CheBI,15876,2336,1
11061,CheBI,16250,2337,1
11062,CheBI,16478,2338,1
11063,CheBI,16962,2344,1
11064,KEGG,C00762,2344,1
